College / Folder,File,Prompt,Response,Topic Cluster
Cornell,Meaningful Award - 100 Words,What is one award you have received or achievement you have attained that has meant the most to you? Please briefly describe its importance to you.*,"Could machine learning help create Alzheimer’s drugs? This question led me to teach myself coding through DeepFindr tutorials and Hamilton’s Graph Representation Learning, and ultimately to build ABIGAIL (Amyloid-Beta Inhibition via Graph AI Learning). At first, my model spat out only errors and broken molecules. After three months of midnight debugging sessions and “just one more test” promises to myself, I presented ABIGAIL at the state science fair, where it earned a first place award. Beyond the award, ABIGAIL mattered because it was my first idea (from sketches to creation) that I was truly proud to call my own.",Neuroscience and Artificial Intelligence Integration
Cornell,3 Words About Cornell Eng.,"The prompt likely asked the applicant to describe a personal experience where they demonstrated creativity, made a significant impact, and worked collaboratively with others to achieve a common goal.","Creative
Impactful
Collaborative",Embracing Curiosity and Creativity
Cornell,3 Words About You,"The prompt likely asked the writer to describe a personal motto or philosophy that has significantly influenced their life, detailing specific experiences and growth that resulted from adopting this mindset.","Just do it. These three words have become a mantra for many, a call to action that transcends the boundaries of sports and spills into every aspect of life. For me, this phrase embodies the essence of perseverance and determination. It reminds me that the only way to achieve my goals is to take that first step, no matter how daunting it may seem.

Growing up, I was always the shy kid in the back of the classroom, hesitant to raise my hand or share my thoughts. I often found myself paralyzed by the fear of failure, convinced that my ideas were not worth sharing. However, as I entered high school, I realized that this mindset was holding me back. I wanted to be more than just a passive observer in my own life; I wanted to be an active participant.

One day, I stumbled upon a flyer for a public speaking club. My heart raced at the thought of standing in front of an audience, but I remembered those three words: Just do it. I took a deep breath and signed up. The first meeting was terrifying. I fumbled over my words and felt the heat of embarrassment wash over me. But as I continued to attend, I began to find my voice. I learned to embrace my mistakes and view them as opportunities for growth rather than reasons to retreat.

With each speech I delivered, I grew more confident. I discovered the power of storytelling and how it could connect me with others. I began to share my experiences, my passions, and my dreams. I realized that my voice mattered, and that by speaking up, I could inspire others to do the same.

This newfound confidence spilled over into other areas of my life. I joined the debate team, where I learned to think critically and articulate my thoughts under pressure. I volunteered for leadership roles in various clubs, pushing myself to take on challenges that once seemed insurmountable. Each time I faced a new obstacle, I reminded myself: Just do it.

Now, as I prepare to embark on the next chapter of my life, I carry this mantra with me. I know that there will be moments of doubt and fear, but I also know that I have the strength to push through. Whether it’s tackling a difficult course, pursuing a passion, or stepping into a leadership role, I am ready to embrace the challenges ahead. Just do it is not just a slogan; it is a philosophy that has transformed my life and will continue to guide me as I strive to make a difference in the world.",Personal Growth Through Relationships
Cornell,One EC - 100 Words,"What is one activity, club, team, organization, work/volunteer experience or family responsibility that is especially meaningful to you? Please briefly tell us about its significance for you.","During winter break of 2023, I started my neuroscience blog, Behind the Brain, to learn about the brain and explore online entrepreneurship. Learning came naturally. As I researched, interviewed, and wrote posts (some of my favorite posts: ‘Information Theory and the Brain’, ‘A New Drug For Alzheimer’s, ‘Interview with Professor Komiyama!’), I learnt more than I could’ve imagined. To make money, I struggled through SEO, keyword research, scheduling guest posts, and structuring backlinks. Although Behind The Brain isn’t a money-printing machine yet, the neuroscience knowledge and SEO expertise I’ve gained since the winter break of 2023 are priceless.",Neuroscience and Artificial Intelligence Integration
Cornell,Contribute to Community/Voice - 100 Words,What do you believe you will contribute to the Cornell Engineering community beyond what you've already detailed in your application? What unique voice will you bring?,"Chess never runs out of positions or ideas, and that infinite possibility hooks me. I’ve shared my excitement by teaching through my business, Checkmate Academy, and giving group lessons at Chess4Life. At Cornell, I’d bring that same energy to the Cornell Chess Club, playing at events like Club Fest, and USATE 2026! But chess doesn’t end with tournaments. I picture blitz games in Olin Library, and late-night matches in my North Campus dorm. Beyond strategic analysis, chess gives me happy memories with my brother and “aha” moments with my students. At Cornell, I’d pass on those same sparks of joy.",Passion for Teaching Chess
UNC Chapel Hill,Academic Subject + Why US,Discuss an academic topic that you’re excited to explore and learn more about in college. Why does this topic interest you?,"During sophomore year, I spent weekend mornings coding algorithms that predicted cancer drugs’ reusability for Alzheimer’s, learning about activation and loss functions. During junior year, I built ABIGAIL (Amyloid-Beta Inhibitor Generation via AI Learning). During the summer, at BU RISE, I learnt to model neuron interactions through circuit schematics. Eventually, I derived an index that predicted Parkinson’s likelihood.
At the same time, my hands itched to do something more than type, so I co-developed a physical device that reduced toxic waste from power plants. I connected tubes, attached arduino boards and calibrated pH sensors. After 6 hours of engineering, our CAD designs became real in the form of an initial testable prototype.
Biomedical Engineering at UNC Chapel Hill is the clearest continuation of my interdisciplinary research through high school. I hope to research neural circuit changes in the Christoffel Lab, and Alzheimer’s disease mechanisms in the Cohen Lab. In the classroom, in BMME 795, I’d study information processing in the nervous system, while in BMME 398/697, I’d build AI tools that help diagnose early-onset Alzheimer’s. After presenting my innovations at the annual UNC BME Design Expo, I’d take these tools to clinical application/industry through the UNC Health Care Innovation and Entrepreneurship Program. Bioengineering has been part of my life since 9th grade, from my coding models, to my time at RISE, deriving equations and modeling neurons. UNC Chapel Hill’s biomedical engineering program will allow me to create impact while doing what I love - building for biology.",Neuroscience and Artificial Intelligence Integration
UNC Chapel Hill,Personal Quality + Community,"Discuss one of your personal qualities and share a story, anecdote, or memory of how it helped you make a positive impact on a community. This could be your current community or another community you have engaged.","In the summer of 2024, I boarded the lone corner seat on a mobile hospital van in Puttaparthi, Andhra Pradesh, India. For the next 15 days, we visited 15 different villages, setting up makeshift clinics in schoolyards, treating patients who’d waited weeks for care. I took vitals, and packed medication bags, but my biggest impact was through Telugu translations - I helped elders who didn’t understand the Puttaparthi dialect or English medical terms. While I translated doctors’ scribbled notes, I saw confused villagers. As I heard the difference between each village’s dialect, I knew the villagers didn’t understand the Puttaparthi dialect. On Day 6, I heard an old man tell his daughter in Telugu, “I don’t understand when to take these medicines; the doctors don’t make sense”. In him, I saw myself during my first days in India, unable to understand the dialect, and scared to ask. Back in Seattle, I kept thinking about the communication breakdown. So I designed a sticker system to make dosage instructions more accessible. A sun and food sticker meant “after breakfast,” while a moon and water droplet meant “before bed with water.” I emailed the idea and prototypes to Dr. Narasimhan, the mobile van director, and spoke with volunteer pharmacists to get feedback. Dr. Narasimhan is still hesitant to change the current system. But I keep trying. During volunteering hours, I acted as a makeshift translator. Now, I want to integrate this sticker system so that one day, patients won’t need a translator at all.",Healthcare and Community Service
UMass - Amherst,Why Major?,The prompt likely asked for a description of a significant educational or personal project that demonstrates the applicant's passion for their intended field of study.,"My journey with research began by coding algorithms that learned cancer drug properties repurposed for Alzheimer’s. As I built another model to generate Alzheimer’s drugs, I analyzed biochemistry in code. At RISE, I modeled neuron interactions using circuits. Eventually, I derived an index that predicted Parkinson’s likelihood. My hands itched to do more than type, so I co-developed a physical device reducing toxic waste from power plants. I connected tubes, calibrated pH sensors, and turned our CAD designs into a working prototype. Majoring in biomedical engineering",Neuroscience and Artificial Intelligence Integration
UMass - Amherst,Community (100),The prompt likely asked the applicant to describe a passion or interest and how they plan to continue pursuing it at college.,"There are infinite possible chess games, and that hooks me. I’ve shared my excitement by teaching through my business, Checkmate Academy, and giving group lessons at Chess4Life. At UMass Amherst, I’d bring that same energy to Chess Club Blue Wall meetings, playing at events like the Pioneer Valley Open and intercollegiate tournaments!
But chess doesn’t end with competitions. I picture blitz games in the W.E.B. Du Bois Library, and late-night matches in my Northeast or Central dorm. Beyond strategic analysis, chess leads to conversations and “aha” moments. At UMass, I’d pass on those same sparks of joy.",Passion for Teaching Chess
UMass - Amherst,Why Us? (100),The prompt likely asked the applicant to discuss why they are interested in attending a specific college or program and how it aligns with their academic and career goals.,"Biomedical engineering at UMass Amherst is the best way to level-up my high-school research. I hope to study neural interfaces through the Institute for Applied Life Sciences. For my Senior Design Project, I want to prototype a prosthetic hand that adapts to EMG signals in real time and refine it using the Device Fabrication Cleanroom and Core Facilities for Biomedical Engineering at IALS.
Whether through translational research with Baystate Medical Center or interdisciplinary projects, I see UMass Amherst’s bioengineering program allowing me to create tangible impact while doing what I love - biology and building.",Neuroscience and Artificial Intelligence Integration
Purdue,Why Major + Campus?,Briefly discuss your reasons for choosing your major and your interest in studying at this campus location (Indianapolis or West Lafayette),"My journey with interdisciplinary research first started during early mornings, coding algorithms that learnt about properties of cancer drugs repurposed for Alzheimer’s, while I learnt about activation and loss functions. While building my next model, one that generated drugs that helped with Alzheimer’s, I learnt to analyze biochemistry in code. At RISE, I learnt to model neuron interactions through circuit schematics. Eventually, I derived an index that predicted Parkinson’s likelihood. At the same time, my hands itched to do something more than type, so I led a group to develop a physical device that reduced toxic waste from power plants. I connected tubes and valves, attaching arduino circuit boards and calibrating pH sensors. After building through the night, high-fiving when the pH sensor read “6.8”, and testing chemistry in our classrooms, we had an initial testable prototype. West Lafayette offers the environment to do tactile AND computational work. I want to apply my neuron-modeling work to neural signal processing at the Birck Nanotechnology Center. I’d also apply to the Spring 2027 DURI projects, especially those in Global Health and Sustainability. In the Bechtel Innovation Design Center I’d join the West Lafayette make culture by soldering, debugging, and building medical devices (I’m researching a headset that can predict seizures). Just how my models translated signals into neuronal models, West Lafayette will be the bridge that will turn my ideas into impact.",Neuroscience and Artificial Intelligence Integration
Purdue,Why Purdue?,"Describe your academic and career goals, and explain how attending Purdue University will help you achieve them while allowing you to contribute to the university community.","Biomedical Engineering at Purdue University is the clearest way for me to merge computational research with hands-on invention. I hope to apply my experience in neuron modeling to the Neuroprostheses Research Lab, decoding electrical activity alongside Dr. Kevin Otto’s team. I also really liked Professor Gaurav Chopra’s work on how lipid buildup disables microglial immune defenses in Alzheimer’s - a problem I’d love to study computationally either through a new DURI focus, or directly in the Chopra Lab. In the classroom, courses like BME 30100 (Biomedical Signal Processing) will teach me to interpret neural data, while BME 49500 (Neuroengineering Applications) can connect that understanding to circuitry and systems design. Outside the classroom, I would explore PIIN: Purdue Institute for Integrative Neuroscience. Within PIIN, the neurodegenerative and neuroengineering subfields look particularly exciting and intriguing. I’d also join Krishna Jayant’s Nano Neurotechnology Lab where I’d research biophysical sensors and neural recordings. Towards the end of my Purdue journey, I’d join one of Purdue’s interdisciplinary capstone projects, designing a wrist-watch that tracks heart rate to predict seizures (industry standard is detection, not prediction). To design this watch, I’d draw from my experiences throughout my time at Purdue, taking sensing technology from the Nano Neurotechnology Lab, and the epileptic analysis from the neurodegenerative department within PIIN. Whether through its exceptional classes, the West Lafayette just-build-it community, or the innumerable research opportunities, I see Purdue’s bioengineering allowing me to create impact in the field of neuroscience while doing what I love - biology and building.",Neuroscience and Artificial Intelligence Integration
Georgia Tech,Why Us + Major,Write about your interest in a specific field of study and how a program at our college will help you achieve your academic and career goals.,"My journey with interdisciplinary research first started during early mornings, coding algorithms that learnt about properties of cancer drugs repurposed for Alzheimer’s, while I learnt about activation and loss functions. While building my next model, one that generated drugs that helped with Alzheimer’s, I learnt to analyze biochemistry in code. At RISE, I learnt to model neuron interactions through circuit schematics. Eventually, I derived an index that predicted Parkinson’s likelihood.
At the same time, my hands itched to do something more than type, so I co-developed a physical device that reduced toxic waste from power plants. I connected tubes, attached arduino boards and calibrated pH sensors. After ordering parts, testing chemistry in our classroom, and building through the night, we had an initial testable prototype.
Biomedical Engineering at Georgia Tech is the clearest way for me to combine computational research with hands-on invention. I hope to study brain-machine interfaces in the Laboratory for Neuroengineering with Dr. Garrett Stanley, decoding neural signals into motion, while exploring cortical plasticity through a paper on perception. In CS 4641, I would analyze neural data using machine learning, and in BMED 3600, I would study cellular systems for nerve repair. For Capstone Design, I want to create a prosthetic hand that adapts to EMG signals in real time and refine it through programs like Biolocity.
Bioengineering at Georgia Tech will allow me to build biomedical tools that work in the lab AND in people’s lives. Whether through translational research at the Petit Institute or partnerships with CHOA and Emory, I see Georgia Tech’s bioengineering allowing me to create impact while doing what I love - biology and building.",Neuroscience and Artificial Intelligence Integration
Stanford,Running Version - Summer,"The prompt likely asked the student to describe their diverse experiences and activities that demonstrate their skills, interests, and personal growth.","I took epileptic patients’ vitals in the Indian heat; I derived an index that predicted Parkinson’s likelihood at BU RISE, while researching emotion-based neural activity at ThinkNeuro. I played online blindfold chess to recruit students; I practiced my serve with my brother at the local tennis courts.",Neuroscience and Artificial Intelligence Integration
Stanford,Running Version - Societal Challenge,The prompt likely asked for an exploration of the importance of curiosity and critical thinking in education and the risks of reliance on technology for information.,"Each year, we lose curiosity, searching for quick answers from ChatGPT and seeking memorization over understanding. As human curiosity - which drives innovation in every field - disappears, we’re pushed closer to a Wall-E-esque dystopia where ideas and disagreement and wonder are nonexistent, making it crucial that we continue questioning.",Embracing Curiosity and Creativity
Stanford,Running Version - Roomate Letter,What are some of your quirks?,"We all have our own quirks, and here are some of mine: I eat a spoonful of peanut butter (better be crunchy!) whenever I get hungry for a snack. I’ll do shadow tennis swings whenever I’m bored, but I promise to not hit you. Lastly, I’ll sometimes put two pinches of salt in my water; I’ve read it helps with electrolytes.

Within a week of rooming together, you’ll definitely notice that I’ll always have my earbuds in. Sometimes, I’m on my daily call with my family, but mostly, I’m just listening to music: Empire State of Mind by Jay Z is my favorite right now. So, when I don’t respond for a couple seconds, I promise I’m not being rude; I’m just removing an earbud. I also play tennis, so we could hit or watch the Grand Slams together. I love to play sports in general, so we can also play whatever sport you like: basketball, table tennis, even running.

Back in Seattle, I play mind games like Chameleon and Codenames with my friends and board games with family. These games, though, typically are just a cover for our serious discussions, where my friends and family discuss the regulation of CRISPR genetic modification, the Ship of Theseus, and whether milk or cereal should be poured first (milk of course). We could hit up a quick game of chess while discussing whether the Flash would beat Superman, followed by something YOU love to do!",Passion for Teaching Chess
Stanford,Running Version - Idea,The Stanford community is deeply curious and driven to learn in and out of the classroom. Reflect on an idea or experience that makes you genuinely excited about learning.,"Used in radios, image and audio data compression, and space signal simplification, the Fourier Transform is a function that tells how much of each frequency is in a certain input signal. But I learnt about the Fourier Transform in a much more unconventional setting: researching my deepest fear, Alzheimer’s based dementia.

Dementia is terrifying. I fear that by forgetting my family, losing muscle memory, and forgetting my past, I’ll lose myself. Luckily, evolution protected humans from dementia by wrapping up our memories in Fourier waves. Each memory is encoded by different waves of synchronized neural activity; only by adding these waves up through a reverse Fourier Transform do we see the full memory. Hence, even if neurons that make up individual waves die out, the entire memory isn’t wiped away. Rather, certain details are lost.

Fourier waves are incredible. They were invented from mathematics (representing polynomials as sums of sine and cosine waves) to explain physics phenomena (heat distribution). Centuries later, we find that evolution beat us to it, inventing this wave breakdown to protect our memories. Each month, I get an update from Google Scholar on Alzheimer’s, and feel an excitement when I see ‘Fourier Transform’ as a keyword. Reading such papers, I’ve decided to join the diverse community of physicists, mathematicians, biologists, and programmers trying to protect the Fourier waves of memory in all of our heads.",Neuroscience and Artificial Intelligence Integration
Stanford,Running Version - Historical Moment,The prompt likely asked for the applicant to describe a historical event or figure they would like to witness and explain how it would inspire or influence their future academic or career pursuits.,"I want to watch Eratosthenes plant two sticks in the ground, measure lengths of their shadows, and derive the circumference of the Earth in 240 BCE. Discussing with Eratosthenes how he used unconventional methods to simplify his problem will help me develop new ideas at Stanford’s Alzheimer’s Disease Research Center.",Neuroscience and Artificial Intelligence Integration
Stanford,Running Version - EC,The prompt likely asked for a description of a transformative or challenging experience that significantly influenced the applicant's personal or academic growth.,"Boston University’s RISE: 5AM showers, essay afternoons, tennis weekends, coding/poker nights. At RISE, I thought endlessly: did our brains fall into Braess’s paradox - were certain bonds between neurons (synapses) redundant? But small activities (doing laundry, watching the sunset, eating ice cream) helped to ground me in the moment.",Neuroscience and Artificial Intelligence Integration
Stanford,Running Version - 5 Things,"The prompt likely asked for a description of personal experiences, hobbies, or influences that have shaped the applicant's identity and interests.",The smell of cedar as I run through the woods to school; 5AM me-time mornings; tennis with my brother illuminated by the setting sun; listening to Telugu music while coding or writing a blog post; the poem by Dylan Thomas: Do Not Go Gentle into that Good Night.,Embracing Curiosity and Creativity
Stanford,Running Version - Contribution to UG,Describe how you would contribute to the Stanford community.,"There are more possible chess games than atoms in the universe - that’s why I love it; there’s always a new position to explore, a fresh tactic to master, a game to play. To share the chess knowledge I learned by scavenging through YouTube videos and articles, I teach private lessons through my chess business, Checkmate Academy, and give group lessons at Chess4Life. The joy and excitement for chess that I share with my students is what I’d bring to Stanford.

The Stanford Chess Club’s website has been up since 2019, but it shows no meeting or event records for the last 4 years. Their chess.com online club has run only 5 events, with a 6 person average per event. I was able to recover my school chess club from worse situations, even hosting our school’s inaugural intra-school chess tournament.

However, I wouldn’t stop there. On late Friday nights, I’d set up casual chess matches with food; during Pomodoro breaks in the sunlit Albert M. Bender Reading Room, I’d pull out my chess board and invite others to play; over long weekends, I’d challenge passersby to quick blitz games on White Plaza.

Chess has taught me grit, complex analysis, and how to run campaigns. It’s given me much more: happy memories learning with my brother, ‘aha’ moments with my students, and an appreciation for the little things. At Stanford, I’d pass along the joy chess has given me to my peers.",Passion for Teaching Chess
Stanford,Why bioengineering?,The prompt likely asked the applicant to explain how their interests and past experiences align with their desired major and how they plan to pursue these interests at a specific college.,"Through code, I’ve developed models that predict biochemical properties of drugs, and predict how biophysical systems work. At the same time, my hands itched to do something more than type, so I co-developed a physical device that reduced toxic waste from power plants. I connected tubes, attached arduino boards and calibrated pH sensors. After ordering parts, testing chemistry in our classrooms, and building through the night, we had an initial testable prototype.  Bioengineering at Stanford is the clearest way for me to combine my computational research with hands-on prototyping. Through a bioengineering major, I can research brain-machine interfaces at the Neural Prosthetics Translational Lab with Dr. Shenoy, decoding motor intention from neural signals, while writing a paper on cortical plasticity in paralysis patients. In CS 221 I’d study how decision-making algorithms map to human brain strategies, while in BIOE 260 I’d learn tissue scaffolding techniques for nerve regeneration. In BIOE141A, the team-based project Capstone class, I’d design a smart prosthetic arm that adapts to user intention, a device I could scale through Stanford’s Biodesign Innovation Fellowship.        Bioengineering allows me to reach my dreams, whether through research on the brain (E.G. Neuro AI Lab), or through scaling devices through the Startup Garage. Most importantly, Stanford’s bioengineering major lets me combine learning with hands-on action so I can build something lasting.",Neuroscience and Artificial Intelligence Integration
Stanford,Why BMC Major #1?,"The prompt likely asked the applicant to discuss their academic and research interests, detailing how their past experiences align with and prepare them for their intended major or program at a specific college.","Before I learnt about formal circuit schematics, I was using those same schematics to model neurons at RISE. I learnt about capacitors and resistors in the context of membrane potentials and ion channels, and through basic derivatives and Python, I learnt to model a neuron through voltage equations. Eventually, I derived an index that predicted Parkinson’s likelihood.
However, my journey with interdisciplinary research first started during early mornings, coding algorithms that learnt about properties of cancer drugs repurposed for Alzheimer’s, while I learnt about activation and loss functions. While building my next model, one that generated drugs that helped with Alzheimer’s, I learnt to analyze biochemistry in code. 
Biomedical Computation (BMC) at Stanford is the clearest continuation of my interdisciplinary research through high school. Through BMC’s 6 research unit requirement, I could research addiction (perhaps introducing a social media focus) at STAAR lab alongside Dr. Eshel, while writing a paper on how serotonin affects aggression and kindness to satisfy my WIM requirement. In the classroom, in CS 273A, I’d analyze human genome data computationally, while in BIO 129A/B I’d learn about cellular interactions. In BIOE 212, the project-based Capstone Class, I’d build AI tools that help diagnose early-onset Alzheimer’s, tools that I could take to market through the StartX Med startup accelerator. 
Biomedical Computation reveals a kaleidoscope of paths to excellence, but more importantly, it gives me the tools to unlock any one of them.",Neuroscience and Artificial Intelligence Integration
Other,Siddharth_Yenamandra_Resume,"The prompt likely asked for a description of a student's passion or interest, how it has developed over time, and how their experiences have prepared them for future studies or aspirations in a specific field.","Throughout my life, I have been driven by a passion for learning and a desire to make a positive impact on the world around me. This journey began in my early childhood, where I found myself captivated by the intricacies of the human brain and the complexities of human behavior. As I grew older, this fascination evolved into a commitment to understanding neuroscience and its potential to improve lives.

In high school, I took my first steps towards this goal by founding the Behind The Brain Blog, where I research and write articles on current developments in neuroscience. This platform has allowed me to share my insights with a wider audience, garnering over 250,000 views across various platforms. I have implemented SEO strategies to increase visibility and engage with readers, including guest interviews with neuroscience professors and researchers. This experience has not only honed my writing skills but has also deepened my understanding of the field.

My academic pursuits have been complemented by hands-on experiences in research and volunteer work. I was fortunate to be selected for the Boston University Research in Science & Engineering (RISE) program, where I derived a novel index for predicting Parkinson’s disease. This experience solidified my desire to contribute to the field of neuroscience through research and innovation.

Additionally, my volunteer work at COPE MultiCare Deaconess Hospital has provided me with invaluable insights into patient care and the healthcare system. Assisting staff with patient care tasks and coordinating onboarding for new volunteers has taught me the importance of empathy and communication in healthcare. My time volunteering in a mobile hospital in India further reinforced this lesson, as I communicated directly with patients in Telugu to provide medical support in rural villages.

I have also engaged in independent research, coding models that predict the efficacy of repurposed anticancer drugs for Alzheimer’s disease treatment and generating novel amyloid-beta inhibitors. These projects have allowed me to apply my knowledge in practical settings and contribute to the ongoing fight against neurodegenerative diseases.

As I look towards the future, I am excited about the prospect of furthering my education in neuroscience and contributing to groundbreaking research. I believe that my experiences, both in the classroom and in the field, have prepared me to take on the challenges of higher education and to make a meaningful impact in the world of neuroscience.",Neuroscience and Artificial Intelligence Integration
Personal Statement, Kritish copy ps,The prompt likely asked the writer to reflect on an experience or encounter that led them to question or explore the essence of being human or the nature of human curiosity.,"At Deaconess Hospital, quiet hours are from 10pm to 6am. But on the circular 11th Tower, where most patients are elderly and partially deaf, quiet hours begin at 8:00pm. 8:00pm is also sunset, something Susanne loves to watch. I see her furrow her brow and fidget with her fingers.

“Hi Susanne! Whatcha thinking about?” I ask.
“Why does the sun go down?”
“The sun’s making way for the moon!”
“Am I in my apartment?”
“No, Susanne, you’re in the hospital!”
“Well, what’s wrong with me?”
“Nothing’s wrong, we’re just making sure you’re doing okay.”

That last line is a lie. We had this conversation yesterday. But since Susanne has Alzheimer’s, she doesn’t remember. The topic of the questions varies: the sun, cars, my buzzcut. But each day, I’m struck by how despite being 90 years old, Susanne still asks questions.

“Susanne, looks like it’s 8:30!”
“Oh. Is it time to sleep?”
“Mhmm.”

I walk Susanne back to her room making sure she doesn’t trip over her IV tubing. After she’s sound asleep, I pace the hallways, quietly humming a Telugu melody. My mind begins to jump, from the endless shape-to-shape errors popping up in my Python model, to a recent article on how a paralyzed person played chess with their mind through Neuralink. I scribble thoughts on the back of an empty vital sheet: ideas about possible bug fixes and the start of a Neuralink-based dystopia.

As I continue to scan for a call light, my mind wanders to a neuroscience panel discussion I attended last Saturday. Sitting in the audience, dwarfed by the students around me donning their college apparel, I shakily raised my hand and squeaked out, “What is the problem of the century for neuroscience?” Dr. Nino Ramirez answered, “What makes us human?”

To be human, I used to believe, was within our genes. I thought humanness came from the ARHGAP11B gene which grows our midbrain, allowing our brain to be bigger than other animals’. But thinking about it now, we neither have the largest brain, nor the largest brain-body mass ratio: the sperm whale and the ant take those titles.

As I write on my vital sheet, I cross out “ARHGAP11B”, writing and circling “opposable thumbs” right below. Opposable thumbs allow me to hold my pen and play tennis. But these are a trait of all primates, not just humans. Perhaps it's language that makes us human. But as I write down “language”, I realize that so many animals have complex language: dolphins, whales, elephants, and surprisingly prairie dogs.

“Disculpe!”, says Hernando in Room 1104, calling for my attention. Agua con hielo - ice water, is what he wants, so I cut through the nurses’ desk station to fill up a plastic grey cup. I quickly raise his bed to Fowler’s position (45-60 degrees) so he can drink his water. Hernando doesn’t understand English and the Spanish interpreter is shared between multiple floors, so Hernando is often lonely. So, I talk with him for a bit in Spanish until he falls asleep.

Alone again, my mind begins to wander. Hernando had asked for water, an important survival need. Susanne’s questions, on the other hand, stemmed from epistemic curiosity - questions unrelated to basic survival. I begin to scribble a formal definition of what it means to be human - trying to connect our genetics, language, opposable thumbs, and the midbrain (where epistemic curiosity is expressed) - when my pocket buzzes. My dad is calling me for the 6th time in 10 minutes.

“Siddharth, where are you? Your shift ended 15 minutes ago!”

I quickly stuff the vital sheet into my pocket, and run to the elevators. The elevator descends, and I bolt through the night exit. As I step into the cold dark Spokane night, a thought comes to me: perhaps, what makes us human is our tendency to ask questions in those small quiet hours.",Personal Growth Through Relationships
